High,Low,Open,Close,Volume,Marketcap,DATE,year,month,ACTLISCOU41860_PCH,ACTLISCOUMM42660_PCH,AIRRPMTSI_PCH,AIRRPMTSID11_PCH,AISRSA_PCH,APU0000717311_PCH,APU000074714_PCH,APUS35C7471A_PCH,AWHMAN_PCH,CASSCBM027NBOG_PCH,CASSCBM027SBOG_PCH,CCUSMA02RUM618N_PCH,CEFDFNA066MNFRBPHI_PCH,CEFDFSA066MSFRBPHI_PCH,CES4348100001_PCH,CEU1000000001_PCH,CEU3000000007_PCH,CEU4142000001_PCH,CEU4348100001_PCH,CHECPALTT01CTGYM_PCH,CHECPALTT01IXNBM_PCH,CHECPIALLMINMEI_PCH,CHNLORSGPNOSTSAM_PCH,COMPUTNSA_PCH,COMPUTSA_PCH,CPALTT01CHM657N_PCH,CPALTT01CHM659N_PCH,CPHPLA01EZM661N_PCH,CUSR0000SAS_PCH,CUUR0000SAS_PCH,EA19CPHPLA01GPM_PCH,EA19CPHPLA01GYM_PCH,ENRGY0EZ19M086NEST_PCH,EXTAUS_PCH,GBRCPIALLMINMEI_PCH,H8B1048NSMCMG_PCH,HSFSUPUSM673N_PCH,INTGSTMXM193N_PCH,LNS14000001_PCH,LNU02026631_PCH,LNU04000001_PCH,M09075USM476NNBR,M12MTVUSM227NFWA_PCH,M12MTVUSM227SFWA_PCH,M14062USM027NNBR_PCH,MDLM_PCH,MDLNM_PCH,MIXRNSA_PCH,MIXRSA_PCH,MPCT00XXS_PCH,MRTSMPCSM442USN_PCH,MRTSMPCSM442USS_PCH,MRTSSM442USN_PCH,MRTSSM442USS_PCH,PALUMUSDM_PCH,PCU221122221122_PCH,PCU325120325120_PCH,PCU3251203251207_PCH,PCU3251232512_PCH,PCU325199325199P_PCH,PCU3331313331319_PCH,PCU3339133391_PCH,PCU336110336110_PCH,PCU336412336412_PCH,PCU336413336413_PC1,PCU336413336413_PCH,PCU441110441110_PCH,PCU4411144111_PCH,PCU481481_PCH,PCU511210511210504_PCH,PCU622110622110_PCH,PCU6221162211_PCH,PCU62216221_PCH,PCUAWHLTRAWHLTR_PCH,PINDUINDEXM_PCH,POP_PCH,PRICENPQUSDM_PCH,RBUSBIS_PCH,RTWEXBGS_PCH,TLRESCON_PCH,TLRESCONS_PCH,TSIFRGHT_PCH,TSIFRGHTC_PCH,TWEXAFEGSMTH_PCH,USMINE_PCH,USWTRADE_PCH,WPS0571_PCH,WPS0638_PCH,WPS114_PCH,WPS1392_PCH,WPSFD4111_PCH,WPSID61_PCH,WPU0571_PC1,WPU0571_PCH,WPU0638_PCH,WPU08120401_PCH,WPU09141105_PCH,WPU114_PCH,WPU1392_PCH,WPU5121_PCH,WPUFD4111_PCH,WPUID61_PCH
147.20899963378906,134.0250015258789,139.2220001220703,141.7699966430664,0.0,1573290994.75,2013-04-01,2013,4,,,-5.92451,0.38681,2.22864,-5.65348,-3.8822,-5.51289,-0.23866,-0.42749,0.64252,1.72293,33.33333,203.33333,-0.11148,0.0,-0.23923,0.28864,0.11183,6.89291,0.03367,0.03367,0.02337,-11.50729,-12.7451,-84.50146,6.86874,-0.02032,0.0963,0.09928,-100.0,-33.33333,-0.98509,0.27568,0.2045,-54.4484,,-4.0201,2.63158,-30.76923,-6.25,,0.09005,0.04371,,,,2.41366,2.20716,0.0,-163.39286,-600.0,-7.08133,-0.52044,-2.62958,-0.14881,0.35868,0.79523,0.35842,2.16828,0.24876,0.3574,-0.14025,0.0,2.57611,0.22883,0.21352,0.21352,-2.48583,0.0,-0.85929,-0.81542,-0.81542,0.55911,-2.73161,0.04876,-1.9125,-0.58344,-0.84354,10.26716,1.27389,-0.86207,,-0.14492,-0.23283,0.00531,-5.89615,0.49834,0.0,-0.41274,-1.12524,-0.54563,-9.1687,-2.17248,0.0551,0.0,-0.06711,0.0,-1.22164,-0.53381,-0.88409,-0.34739
147.20899963378906,134.0250015258789,139.2220001220703,141.7699966430664,0.0,1573290994.75,2013-05-01,2013,5,,,7.48098,-0.03424,3.6738,0.0705,0.91922,2.78665,-0.23923,-6.23535,-1.96048,-0.28214,16.0,39.56044,-0.37946,1.18064,-0.23981,0.58273,-0.02234,-20.02521,0.10999,0.10999,0.02783,6.77656,-0.5618,226.65472,-20.01987,0.19309,0.17434,0.3207,,20.0,-1.21395,-0.17199,0.20408,-302.34375,,-2.6178,1.28205,-3.53535,1.33333,,0.08869,0.03285,,,,2.55792,1.79329,23.07692,-201.40845,60.0,7.18473,-0.77836,-1.52886,1.63934,0.78628,-0.92045,0.85714,0.09503,0.0,0.0,-0.49157,0.04673,2.33645,0.0,-0.28409,-0.28409,-0.9839,0.0,0.05417,0.0,0.0,-1.27085,-2.7736,0.05196,-0.29623,0.72136,0.45541,6.26211,1.59588,0.86957,-200.0,0.87059,0.58343,0.07794,2.63439,0.66116,0.27586,1.12493,0.39584,-0.14963,-2.43122,2.6245,0.49559,4.19229,3.22364,0.18357,0.76561,0.08945,0.6442,0.0996
147.20899963378906,134.0250015258789,139.2220001220703,141.7699966430664,0.0,1573290994.75,2013-06-01,2013,6,,,6.64986,0.80065,-1.40187,-1.58507,0.27601,-0.28241,0.23981,0.17421,0.2166,3.31987,69.82759,62.20472,-0.3361,1.40023,0.96154,0.51047,0.24581,-74.78387,0.0983,0.0983,0.03158,13.20755,3.9548,-10.62935,-74.79802,0.04057,0.17548,0.40519,-100.0,0.0,0.11087,0.51385,-0.20367,-98.0695,,1.6129,-2.53165,28.79581,2.63158,,-0.01333,0.05577,,,,2.05367,1.71777,-50.0,-148.61111,-437.5,-3.4724,2.72634,-0.98408,2.78592,0.0,2.65428,-0.07082,0.47468,0.0,0.0,-0.28229,0.0,2.27538,0.05708,0.14245,0.14245,3.11653,0.0,0.05414,0.07474,0.07474,0.56315,-3.77785,0.05877,-1.05725,0.82544,0.81192,6.39119,0.82002,0.51724,-44.44444,-0.83432,0.23202,0.09558,0.2428,0.49261,-0.0917,-0.46838,-0.24643,-0.04995,1.92049,-0.81967,0.49315,0.0,-0.52049,-0.09162,-0.81823,0.08937,0.04924,0.14925
147.20899963378906,134.0250015258789,139.2220001220703,141.7699966430664,0.0,1573290994.75,2013-07-01,2013,7,,,4.46996,-0.487,-2.8831,-3.47173,-0.13763,-0.1416,-0.23923,2.19254,0.87346,1.42094,26.90355,25.72816,-0.53957,0.69045,-1.66667,0.09665,-0.37896,-97.83816,-0.35664,-0.35664,0.03413,1.51515,6.52174,-462.82244,-97.82906,-0.85167,0.25267,0.19441,,-8.33333,0.83987,0.0294,0.0,-1220.0,,1.85185,0.0,17.47967,-2.5641,,0.12465,0.06988,,,,1.18308,0.51776,37.5,-260.0,-111.11111,5.58703,-0.28793,-2.47605,0.49929,0.70922,0.96962,0.70872,-0.15748,-0.57899,0.0,-0.42463,0.0,2.27538,0.0,-0.21337,-0.21337,0.78844,-0.06739,0.32468,0.29873,0.29873,0.64,0.72877,0.05884,-1.46254,0.55382,0.62266,3.12232,1.10856,-0.42882,-180.0,1.29068,-0.23148,0.13792,-1.55709,0.92593,0.22946,0.64706,0.14822,0.04998,3.3957,-1.35537,1.36314,0.42918,0.88293,0.13755,1.00177,0.26786,0.0,0.0
147.20899963378906,134.0250015258789,139.2220001220703,141.7699966430664,0.0,1573290994.75,2013-08-01,2013,8,,,-2.39927,0.14881,5.12403,-3.33704,-0.77178,0.39705,0.47962,3.14691,0.40551,0.85231,-44.4,-22.39382,-0.29385,0.68571,1.69492,-0.08778,-0.67129,1512.5389,-0.07198,-0.07198,0.03378,6.86567,-2.42347,-79.81722,1507.62739,0.17384,0.21608,0.14777,-122.22222,0.0,0.49423,0.0137,0.40816,7.14286,,-0.25974,0.0,-34.60208,-2.63158,,0.12383,0.14567,,,,0.78786,0.94244,100.0,8.92857,-366.66667,6.12754,0.81607,2.63488,-0.14194,-0.28169,0.6402,-0.28149,-2.2082,0.41597,0.0,-0.21322,-0.23354,2.15492,0.05705,0.07128,0.07128,0.56497,0.0,0.05394,0.07446,0.07446,-0.47695,3.82933,0.06948,-5.29263,-0.3113,-0.10022,2.76561,2.17487,0.5168,-225.0,-1.14259,0.11601,0.10948,3.90158,0.1619,0.13736,2.63004,0.49334,0.14985,-2.27564,2.17828,-0.10758,1.9765,1.16694,0.13736,2.9755,0.26714,0.73819,0.14903
147.20899963378906,134.0250015258789,139.2220001220703,141.7699966430664,0.0,1573290994.75,2013-09-01,2013,9,,,-16.00435,-0.12667,0.19342,-2.35903,-1.22222,-1.69492,-0.23866,0.89802,0.87627,-1.17217,89.20863,24.87562,-0.13602,-0.34052,0.2381,-0.12125,-0.63077,24.20255,0.30083,0.30083,0.02985,-2.65363,1.43791,-517.93168,24.05788,0.72479,0.23427,0.16581,250.0,-9.09091,0.4827,-1.06508,0.30488,76.66667,,-5.20833,0.0,13.22751,-1.35135,,0.12324,0.11218,,,,0.75662,1.03657,-50.0,-218.03279,-12.5,-7.19661,0.69738,-3.02444,0.07107,1.12994,-0.9542,1.12915,-0.54839,0.1657,0.0,-0.14245,-0.14045,1.79919,0.0,-0.2849,-0.2849,-4.79689,0.0,0.16173,0.14881,0.14881,0.47923,-1.28066,0.07077,-7.80205,-0.48042,-0.5027,-1.48093,1.10791,0.0,-100.0,-0.48548,0.57937,0.21872,-2.977,-1.72414,0.1829,1.70843,-0.39273,-0.04988,-9.84643,-1.80387,-2.15401,0.68098,-0.38449,0.09145,1.35977,0.17762,-0.48852,-0.0496
147.20899963378906,134.0250015258789,139.2220001220703,141.7699966430664,0.0,1573290994.75,2013-10-01,2013,10,,,3.75624,0.49579,4.94208,1.13927,-5.08999,-2.75862,0.23923,4.99243,1.41109,-1.73524,-23.95437,3.18725,-0.27242,0.1139,-0.23753,-0.02463,-0.61211,360.66288,-0.07676,-0.07676,0.02423,5.73888,3.22165,-125.51691,361.03784,0.05067,0.12885,-0.03969,-85.71429,-20.0,-1.24173,-0.82944,0.10132,110.37736,,-6.86813,-2.5974,8.41121,-2.73973,,0.17357,0.14194,,,,1.12807,1.62345,72.72727,-137.5,85.71429,2.72428,1.27381,3.02491,-2.62784,-0.69832,-0.32113,-0.62805,-0.09731,0.0,0.07123,3.28103,0.09376,1.79919,0.0,-0.14286,-0.14286,2.26963,0.0,1.0226,1.04012,1.04012,-0.15898,-0.03763,0.06768,-3.56152,-1.39995,-1.12645,3.20533,1.85969,0.0,,-1.21456,0.11521,-0.2024,0.24407,0.49342,0.27385,0.55991,0.64071,-0.0998,-10.57421,-4.80962,0.22014,2.34131,0.03216,0.13705,-0.16769,0.70922,0.34364,-0.69479
147.20899963378906,134.0250015258789,139.2220001220703,141.7699966430664,0.0,1573290994.75,2013-11-01,2013,11,,,-8.77156,1.83159,-0.51508,-2.11692,-3.67407,-4.22577,0.23866,6.71408,1.34885,1.81694,-15.5,-28.57143,0.34145,-0.91013,0.47619,0.21293,0.06843,-131.26206,0.00693,0.00693,0.0172,-3.93487,4.74407,-109.02755,-131.24362,-0.03039,0.20589,0.1048,-100.0,25.0,-0.78928,0.48031,0.0,-39.91031,,0.0,-4.0,-8.62069,-2.8169,,-0.01025,0.0541,,,,1.37614,1.4949,10.52632,259.25926,-53.84615,9.69533,0.64721,-3.67128,-1.31291,-0.21097,0.12887,-0.21067,-1.36364,0.04136,0.07117,0.55249,0.56206,2.43761,0.62714,0.14306,0.07153,-1.95295,0.0,0.0,0.0,0.0,1.11465,0.0208,0.06435,-0.98207,0.50184,0.85424,-10.11597,2.05374,1.97087,,1.25929,-0.11507,0.19752,0.97391,0.43644,0.09103,0.16704,0.19589,-0.04995,-4.22735,-5.40351,0.0,0.05084,-0.09646,0.13686,-0.6159,0.0,0.09785,-0.64968
147.20899963378906,134.0250015258789,139.2220001220703,141.7699966430664,0.0,1573290994.75,2013-12-01,2013,12,,,11.56376,-1.64179,3.99408,-1.8254,0.79975,-0.61709,-0.2381,-0.8127,1.22777,0.76337,-18.93491,-22.16216,0.40835,-0.45924,0.7109,0.05444,0.56987,-15.90777,-0.22639,-0.22639,0.00999,4.23729,-7.27056,-3366.91647,-15.84493,0.27358,0.19941,0.08111,,-30.0,0.55504,0.69585,0.40486,-44.02985,,-2.94985,-5.55556,28.77358,-1.44928,,0.08467,0.01025,,,,0.87898,1.10196,-4.7619,-58.76289,-683.33333,3.98066,-3.5307,-0.4665,0.44346,1.2685,-2.50965,1.26671,-0.55958,0.0,0.14225,0.54945,-0.04658,2.37819,0.0,-0.85714,-0.78628,5.11544,0.0,-0.05328,-0.07353,0.0,-0.15748,1.08366,0.0573,-0.28165,-0.06089,0.19974,-8.67404,1.98371,-1.0084,-150.0,0.19967,-0.23041,0.09681,0.41337,1.195,0.0,-0.44469,0.0,0.44978,-0.8484,-0.29674,1.04338,0.25407,-0.35404,0.0,-0.4507,0.0,-0.1955,0.25151
123.94909643357799,114.25351272090789,120.29209678403792,119.99274124637726,0.0,1339718001.5587096,2013-04-01,2013,4,,,-5.92451,0.38681,2.22864,-5.65348,-3.8822,-5.51289,-0.23866,-0.42749,0.64252,1.72293,33.33333,203.33333,-0.11148,0.0,-0.23923,0.28864,0.11183,6.89291,0.03367,0.03367,0.02337,-11.50729,-12.7451,-84.50146,6.86874,-0.02032,0.0963,0.09928,-100.0,-33.33333,-0.98509,0.27568,0.2045,-54.4484,,-4.0201,2.63158,-30.76923,-6.25,,0.09005,0.04371,,,,2.41366,2.20716,0.0,-163.39286,-600.0,-7.08133,-0.52044,-2.62958,-0.14881,0.35868,0.79523,0.35842,2.16828,0.24876,0.3574,-0.14025,0.0,2.57611,0.22883,0.21352,0.21352,-2.48583,0.0,-0.85929,-0.81542,-0.81542,0.55911,-2.73161,0.04876,-1.9125,-0.58344,-0.84354,10.26716,1.27389,-0.86207,,-0.14492,-0.23283,0.00531,-5.89615,0.49834,0.0,-0.41274,-1.12524,-0.54563,-9.1687,-2.17248,0.0551,0.0,-0.06711,0.0,-1.22164,-0.53381,-0.88409,-0.34739
